Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,CareerProgressionRatio,YearsWithoutPromotion,AnnualSalary,SalaryHikeImpact,WorkLoadIndex,BusinessTravel_Encoded,Department_Encoded,Education_Encoded,EducationField_Encoded,EnvironmentSatisfaction_Encoded,Gender_Encoded,JobInvolvement_Encoded,JobRole_Encoded,JobSatisfaction_Encoded,MaritalStatus_Encoded,OverTime_Encoded,PerformanceRating_Encoded,RelationshipSatisfaction_Encoded,WorkLifeBalance_Encoded
41,1,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8,Yes,11,Excellent,Low,0,8,0,Bad,6,4,0,5,2.0,0.14285714285714285,4,71916,65923,6,2,2,2,1,2,0,0,7,3,2,1,0,1,0
49,0,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,High,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1,No,23,Outstanding,Very High,1,10,3,Better,10,7,1,7,3.0,0.18181818181818182,6,61560,117990,2,1,1,1,1,0,1,2,6,2,1,0,1,3,2
37,1,Travel_Rarely,1373,Research & Development,2,College,Other,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Excellent,Medium,0,7,3,Better,0,0,0,0,3.0,1.0,0,25080,31350,4,2,1,2,4,3,1,2,2,0,2,1,0,2,2
33,0,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,High,0,8,3,Better,8,7,3,0,3.25,0.4444444444444444,4,34908,31999,6,1,1,4,1,3,0,0,6,0,1,1,0,0,2
27,0,Travel_Rarely,591,Research & Development,2,Below College,Medical,Low,Male,40,High,1,Laboratory Technician,Medium,Married,3468,16632,9,No,12,Excellent,Very High,1,6,3,Better,2,2,2,2,2.5,1.0,0,41616,41616,3,2,1,1,3,1,1,0,2,2,1,0,0,3,2
32,0,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Very High,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Excellent,High,0,8,2,Good,7,7,3,6,3.25,0.5,4,36816,39884,3,1,1,2,1,3,1,0,2,3,2,0,0,0,3
59,0,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,High,Female,81,Very High,1,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Outstanding,Low,3,12,3,Good,1,0,0,0,1.75,0.5,0,32040,53400,8,2,1,0,3,0,0,3,2,1,1,1,1,1,3
30,0,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Very High,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Outstanding,Medium,1,1,2,Better,1,0,0,0,3.0,0.5,0,32316,59246,3,2,1,1,1,3,1,0,2,0,0,0,1,2,2
38,0,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0,No,21,Outstanding,Medium,0,10,2,Better,9,7,1,8,3.0,0.2,6,114312,200046,2,1,1,0,1,3,1,2,4,0,2,0,1,2,2
36,0,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,High,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6,No,13,Excellent,Medium,2,17,3,Good,7,7,7,7,2.5,1.0,0,62844,68081,3,2,1,0,3,0,1,0,0,0,1,0,0,2,3
35,0,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Excellent,High,1,6,5,Better,5,4,0,3,2.25,0.16666666666666666,4,29112,31538,4,2,1,0,3,1,1,3,2,2,1,0,0,0,2
29,0,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Very High,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0,Yes,12,Excellent,Very High,0,10,3,Better,9,5,0,8,3.5,0.1,5,50316,50316,4,2,1,2,1,3,0,2,2,0,2,1,0,3,2
31,0,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Low,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,Very High,1,5,1,Good,5,2,4,3,2.5,0.8333333333333334,-2,34932,49487,3,2,1,1,1,1,1,0,6,0,0,0,0,3,3
34,0,Travel_Rarely,1346,Research & Development,19,College,Medical,Medium,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,Excellent,High,1,3,2,Better,2,2,1,2,3.0,0.6666666666666666,1,31932,29271,3,2,1,2,3,2,1,0,2,3,0,0,0,0,2
28,1,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,High,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5,Yes,14,Excellent,Medium,0,6,4,Better,4,2,0,3,2.75,0.2,2,24336,28392,4,2,1,0,1,0,1,2,2,0,2,1,0,2,2
29,0,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Medium,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,Excellent,High,1,10,1,Better,10,9,8,8,2.25,0.8181818181818182,1,119760,109780,4,2,1,4,1,2,0,3,4,1,0,0,0,0,2
